一 a
摔 dsv
接 dsz
摔 dsze
接 dszm
抖 dte
抖 dted
扩 dtg
掂 dti
掂 dtij
搁 dtr
搁 dtrj
拌 dub
拦 dubd
搓 dubi
拼 due
掷 dug
掷 dugy
掸 duke
搂 duz
搂 duzm
求 dv
救 dvm
挑 dvr
挑 dvrd
求 dvs
救 dvsm
裘 dvsr
搅 dvw
搅 dvwl
按 dw
拧 dwa
拧 dwai
控 dwb
控 dwbi
挥 dwh
挥 dwhe
护 dwm
搾 dwmi
搥 dwmy
探 dwo
探 dwof
掮 dwq
擦 dwr
擦 dwrb
挖 dwy
挖 dwyd
搧 dwyy
按 dwzm
据 dx
扫 dxb
择 dxbi
扭 dxe
扭 dxed
据 dxej
握 dxh
握 dxhb
披 dxi
捅 dxl
捅 dxld
揉 dxmf
摊 dxn
摊 dxni
搔 dxsi
摒 dxu
摒 dxue
揉 dxx
搡 dxxf
抒 dxxi
掘 dxz
掘 dxzz
把 dy
挪 dyb
挪 dyby
撰 dyeo
抿 dyh
抿 dyhd
把 dyia
招 dyj
扔 dym
挺 dymb
拂 dyn
拂 dynd
扬 dyo
扬 dyod
报 dyx
报 dyxs
撰 dyy
拨 dz
拚 dze
掺 dzg
掺 dzgp
抬 dzj
掼 dzlo
挨 dzm
挨 dzma
拟 dzo
拟 dzod
扎 dzv
扎 dzvv
拨 dzxs
拙 dzzi
拗 dzzy
世 e
廿 ea
勤 eacy
苛 eaj
昔 eak
黄 eako
鹊 eakr
共 eao
恭 eaou
巷 eaoy
散 eaqm
葬 ear
葬 eare
茢 eark
燕 earu
世 eaz
甘 eb
鞋 ebb
蒜 ebbk
某 ebf
荚 ebu
荚 ebuo
苇 eby
芸 ebzs
其 ec
基 ecb
藉 ecek
斯 ecp
斯 ecpd
期 ecq
欺 ecr
欺 ecro
斟 ecte
甚 ecz
勘 eczy
十 ed
韩 edby
戟 edeh
矗 edel
朝 edeq
博 edfd
献 edgs
古 edj
故 edjm
胡 edjq
克 edjr
辜 edjs
南 edl
直 edlc
南 edld
真 edlo
颠 edog
卖 edtg
丧 eduh
索 edwz
支 edx
支 edxs
协 edy
协 edyo
翅 edyy
革 ee
鞋 eebb
苦 eej
鞭 eeko
鞘 eekq
